"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-22","52","66","37"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-23","42","52","32"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-24","44","57","30"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-25","52","66","38"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-26","50","66","33"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-27","53","64","41"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-28","42","50","34"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-29","40","50","30"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-30","41","55","26"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-03-31","45","62","28"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-01","51","66","35"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-02","56","70","41"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-03","55","72","37"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-04","61","79","43"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-05","50","63","36"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-06","51","61","41"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-07","46","60","32"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-08","55","70","39"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-09","52","58","45"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-10","0","68","37"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-11","59","74","43"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-12","61","75","46"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-13","57","63","50"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-14","52","61","43"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-15","52","63","41"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-16","52","61","43"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-17","58","72","44"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-18","57","66","48"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-19","57","67","46"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-20","60","71","48"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-21","56","67","44"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-22","55","64","46"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-23","48","57","38"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-24","46","58","33"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-25","55","62","47"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-26","54","70","37"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-27","68","87","49"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-28","56","69","42"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-29","48","60","36"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-04-30","57","75","38"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-01","67","84","49"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-02","63","71","54"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-03","65","78","52"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-04","57","67","47"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-05","55","63","47"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-06","52","59","45"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-07","54","62","46"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-08","55","65","45"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-09","56","62","49"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-10","47","54","39"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-11","44","51","37"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-12","46","60","32"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-13","58","71","44"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-14","60","74","45"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-15","60","76","44"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-16","63","73","53"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-17","64","75","52"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-18","59","73","45"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-19","64","77","50"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-20","64","79","49"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-21","70","87","53"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-22","71","84","58"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-23","66","79","52"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-24","67","82","51"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-25","64","74","54"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-26","63","76","49"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-27","70","81","58"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-28","66","75","56"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-29","60","73","47"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-30","57","71","43"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-05-31","51","64","37"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-01","58","78","38"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-02","71","90","51"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-03","70","87","53"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-04","76","95","57"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-05","78","91","65"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-06","71","88","53"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-07","72","89","55"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-08","61","70","52"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-09","59","69","48"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-10","60","70","49"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-11","58","72","44"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-12","61","68","54"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-13","63","77","48"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-14","70","88","52"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-15","69","78","59"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-16","62","77","46"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-17","67","82","51"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-18","73","90","56"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-19","64","75","53"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-20","63","79","46"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-21","74","92","56"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-22","74","89","58"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-23","72","88","55"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-24","70","88","52"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-25","71","86","56"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-26","70","88","52"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-27","72","88","55"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-28","78","94","61"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-29","76","95","57"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-06-30","81","98","64"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-01","75","89","61"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-02","70","85","54"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-03","66","77","54"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-04","61","77","45"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-05","67","80","53"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-06","67","79","55"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-07","72","87","57"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-08","72","88","55"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-09","72","86","57"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-10","73","90","55"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-11","79","97","60"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-12","83","100","66"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-13","81","99","63"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-14","78","96","60"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-15","73","88","58"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-16","76","94","58"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-17","80","90","69"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-18","78","89","66"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-19","77","93","60"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-20","82","95","68"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-21","85","102","67"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-22","84","99","68"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-23","76","92","60"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-24","75","94","56"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-25","79","96","61"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-26","77","93","61"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-27","77","94","59"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-28","80","101","59"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-29","81","100","62"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-30","83","100","66"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-07-31","86","101","71"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-01","83","98","67"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-02","81","98","63"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-03","87","102","72"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-04","85","95","74"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-05","79","95","63"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-06","80","96","63"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-07","80","97","62"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-08","82","100","64"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-09","85","102","67"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-10","82","95","68"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-11","75","87","62"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-12","79","96","62"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-08-13","75","92","57"
